Year,Month,Day,Decimal,PPM
2026,1,8,428.60,427.04
2026,1,9,428.62,427.04
2026,1,10,428.63,427.05
2026,1,11,428.65,427.06
2026,1,12,428.66,427.06
2026,1,13,428.67,427.07
2026,1,14,428.68,427.08
2026,1,15,428.69,427.09
2026,1,16,428.70,427.09
2026,1,17,428.71,427.10
2026,1,18,428.72,427.11
2026,1,19,428.73,427.11
2026,1,20,428.74,427.12
2026,1,21,428.74,427.13
2026,1,22,428.75,427.14
2026,1,23,428.76,427.14
2026,1,24,428.76,427.15
2026,1,25,428.77,427.16
2026,1,26,428.77,427.16
2026,1,27,428.78,427.17
2026,1,28,428.78,427.18
2026,1,29,428.79,427.18
2026,1,30,428.79,427.19
2026,1,31,428.80,427.20
2026,2,1,428.80,427.21
2026,2,2,428.81,427.21
2026,2,3,428.81,427.22
